Acc Number,New Acc No,Old Acc No,Meter No,Acc Name,Subzone,Tariff,Connection Status
,02822,210092782,1019501,ROSEMARY N. KARIITHI,MUGUTHA,Domestic,DISCONNECTED
,02823,210092800,1019506,ELIUD MAINA MWANGI,MUGUTHA,Domestic,ACTIVE
,02824,210092801,1019504,JOHN G. MBUGUA,MUGUTHA,Domestic,DISCONNECTED
,02825,210092802,1019334,JOSEPH MWANGI MARETE,MUGUTHA,Commercial,SUSPENDED
,02826,210092805,1019507,GIDEON G. GATHAARA,MUGUTHA,DOMESTIC,DISCONNECTED
,02827,210092806,1020993,GEORGE KANYIRI NGUGI,MUGUTHA,DOMESTIC,SUSPENDED
,02828,210092807,1019806,GIDEON M.MUTETI,MUGUTHA,Domestic,ACTIVE
,02829,210092808,1019510,SARAH KARWITHA ELIJAH,MUGUTHA,DOMESTIC,ACTIVE
,02830,210092809,1019503,NAOMI WAMAITHA NGETHE,MUGUTHA,Commercial,SUSPENDED
,02831,210092878,1019807,ABRAHAM KIMANI NGUGI,MUGUTHA,Domestic,ACTIVE
,02832,210092881,1019966,SCOLASTICA WANJIRU,MUGUTHA,Domestic,ACTIVE
,02833,210092901,HI8JA007055,JONAH NGUGI MWANGI,MUGUTHA,Domestic,ACTIVE
,02834,210092902,1019654,LUCY MUTHONI NYAGA,MUGUTHA,DOMESTIC,SUSPENDED
,02835,210092912,1019893,MARY KAMAU,MUGUTHA,Domestic,ACTIVE
,02836,210092925,201006456,MILDRED ODIMA,MUGUTHA,DOMESTIC,SUSPENDED
,02837,210092941,1020327,GACHIO SAMUEL MUIRURI,MUGUTHA,Domestic,SUSPENDED
,02838,210092942,H17JA014380,EDWIN OMONDI ODELA,MUGUTHA,Domestic,SUSPENDED
,02839,210092943,1020330,ELIZABETH N MURIUKI,MUGUTHA,Domestic,ACTIVE
,02840,210092944,1020329,JACOB N. NJUGUNA,MUGUTHA,DOMESTIC,ACTIVE
,02841,210092948,1020323,MARY CAROLINE KAMENE,MUGUTHA,Domestic,ACTIVE
,02842,210092949,1020328,PRISCA WANGUI MIANO,MUGUTHA,Domestic,ACTIVE
,02843,210092951,1020391,ALICE WANJIRU M,MUGUTHA,Domestic,ACTIVE
,02844,210092965,1020392,MARY M. NJOROGE,MUGUTHA,Commercial,SUSPENDED
,02845,210092966,1020394,DANCAN M. WANDAKA,MUGUTHA,Commercial,SUSPENDED
,02846,210092972,1020008,JULIA WARIGIA MWIHAKI,MUGUTHA,DOMESTIC,SUSPENDED
,02848,210092982,1020611,FELISTA NJOKI MBURU,MUGUTHA,Domestic,ACTIVE
,02849,210093032,1020602,JOSEPH KINYUA WANYIKA,MUGUTHA,Domestic,ACTIVE
,02851,210093048,1019975,MUGAA D KAIMURI,MUGUTHA,Domestic,SUSPENDED
,02852,210093049,1020760,MERC W. KANYINGI,MUGUTHA,Domestic,SUSPENDED
,02853,210093070,H17JA010345,JACINTA MUTHONI MWANGI,MUGUTHA,Domestic,ACTIVE
,02854,210093127,1068525,MARTIN GITAU NYAGA,MUGUTHA,Domestic,SUSPENDED
,02855,210093129,14609215,DANIEL WANYOIKE NGUGI,MUGUTHA,Commercial,DISCONNECTED
,02856,210093130,1069199,LUCY NJOKI MACHARIA,MUGUTHA,Commercial,ACTIVE
,02857,210093131,1069200,STANLEY MBUGUA,MUGUTHA,DOMESTIC,SUSPENDED
,02858,210093132,1069201,SAM NJOROGE DAMIS,MUGUTHA,Commercial,ACTIVE
,02859,210093136,112528,JOSHUA WOKABI KIGOTHO,MUGUTHA,Domestic,ACTIVE
,02860,210093137,16001605,DAVID MUNGAI GATU,MUGUTHA,Domestic,ACTIVE
,02861,210093138,1069202,GRACE WAIRIMU GACHOHI,MUGUTHA,Domestic,ACTIVE
,02862,210093159,1020977,ESTHER K. NJUGUNA,MUGUTHA,Commercial,SUSPENDED
,02863,210093172,1020770,ANN WAMBUI NDUNG'U,MUGUTHA,Domestic,ACTIVE
,02864,210093173,1020768,JACINTA NJERI,MUGUTHA,Domestic,ACTIVE
,02865,210093177,1020301,PAULINA MUTHONI NJENGA,MUGUTHA,DOMESTIC,SUSPENDED
,02866,210093189,150280618,MARY WANGARI KARANJA,MUGUTHA,Domestic,DISCONNECTED
,02867,210093196,1019695,SIMON KAMAU GITAU,MUGUTHA,Commercial,SUSPENDED
,02868,210093209,1066682,PETERSON MAINA GICHERA,MUGUTHA,DOMESTIC,ACTIVE
,02869,210093210,1066683,RONALD KAMAU NGUGI,MUGUTHA,Domestic,ACTIVE
,02870,210093226,1068231,JANE WANJIRU WAMBUGU,MUGUTHA,Domestic,ACTIVE
,02871,210093231,112483,ELIEZER KIBAARA KITHIEKA,MUGUTHA,Domestic,ACTIVE
,02872,210093239,7106160,PATRICK MAINA CHEGE,MUGUTHA,Domestic,ACTIVE
,02873,210093249,1066683,PETER KIRUGU WAMBU,MUGUTHA,Domestic,ACTIVE
,02874,210093253,201006070,GEORGE NJOROGE KAGWI,MUGUTHA,Commercial,DISCONNECTED
,02875,210093306,201006233,ROSEBELL WAITHERA KIARIE,MUGUTHA,Commercial,SUSPENDED
,02876,210093310,201006395,ANN WANJIRU NJIHIA,MUGUTHA,Domestic,ACTIVE
,02877,210093311,201006394,MARY MUKAMI NJENGA,MUGUTHA,Commercial,DISCONNECTED
,02878,210093312,201006391,MBURU SIMON KARIUKI,MUGUTHA,Domestic,SUSPENDED
,02879,210093314,201006396,PHILOMENA WAITHERA KARANJA,MUGUTHA,Commercial,SUSPENDED
,02880,210093317,201006015,LUCY NJERI WANYOIKE,MUGUTHA,Commercial,ACTIVE
,02881,210093318,201006012,LEAH WANJIKU KARIUKI,MUGUTHA,Domestic,SUSPENDED
,02882,210093320,19014987,JANE WAMBUI KINYANJUI,MUGUTHA,Domestic,ACTIVE
,02883,210093323,201006470,TIMOTHY KAMAU NJICHA,MUGUTHA,Domestic,ACTIVE
,02884,210093346,1068959,CAROLINE M THOMAS,MUGUTHA,Domestic,ACTIVE
,02885,210093347,1068963,FLORENCE WANJIRU GITAU,MUGUTHA,Domestic,SUSPENDED
,02886,210093348,1068967,DANIEL KIMANI WACHIRA,MUGUTHA,DOMESTIC,ACTIVE
,02887,210093349,1068960,JAMES MUTIGA WAINAINA,MUGUTHA,Domestic,SUSPENDED
,02888,210093351,1068960,ESTHER MARY WACHERA NJOGU,MUGUTHA,Domestic,SUSPENDED
,02889,210093352,210093352,LUCY MUTHONI MURIMA,MUGUTHA,Domestic,ACTIVE
,02890,210093355,14411315,PAUL NJUGUNA WAINAINA,MUGUTHA,Domestic,DISCONNECTED
,02891,210093364,1067892,MUIGAI FLORENCE NDUTA,MUGUTHA,Domestic,SUSPENDED
,02892,210093373,201006401,JACKSON NJIRAINI AYUB,MUGUTHA,Domestic,SUSPENDED
,02893,210093389,113027,JAMES KINYUA KAMUNYA,MUGUTHA,Domestic,SUSPENDED
,02894,210093394,201006229,LUCY MWIHAKI NGANGA,MUGUTHA,Domestic,ACTIVE
,02896,210093420,2010093420,ISAIAH K NJENGA,MUGUTHA,Domestic,SUSPENDED
,02897,210093438,201006496,SARAH WAIRIMU WANJIHIA,MUGUTHA,Domestic,ACTIVE
,02898,210093439,201006495,MARY WAMUYU NDUNGU,MUGUTHA,DOMESTIC,SUSPENDED
,02899,210093453,201006112,MARY WAMBUI MAINA,MUGUTHA,Domestic,ACTIVE
,02900,210093463,201006332,JAMES MWANGI KAMINJUKI,MUGUTHA,Domestic,SUSPENDED
,02901,210093475,12036537,JOHN NJOROGE NJUGUNA,MUGUTHA,Domestic,SUSPENDED
,02902,210093480,201006095,CATHERINE WANGUI MUNENE,MUGUTHA,Domestic,ACTIVE
,02904,210093493,201006142,MARY KAMENDI KARUGI,MUGUTHA,Domestic,ACTIVE
,02905,210093494,201006142,MARGARET MUGURE GACHINGA,MUGUTHA,Domestic,ACTIVE
,02906,210093529,112482,PETER KAMAU �GIKURU,MUGUTHA,Domestic,SUSPENDED
,02907,210093532,112484,JAMES MBAU NDUNGU,MUGUTHA,Domestic,ACTIVE
,02908,210093548,112493,HELLEN WANJIKU GATHU,MUGUTHA,Commercial,SUSPENDED
,02909,210093549,112494,NANCY WANJIKU IRUNGU,MUGUTHA,Commercial,ACTIVE
,02910,210093570,113178,ELIZABETH WANGUI NDERITU,MUGUTHA,Domestic,DISCONNECTED
,02911,210093572,113179,REGINA WACERA HOME,MUGUTHA,Domestic,SUSPENDED
,02912,210093573,113177,GRACE WANJIRA NGIGI,MUGUTHA,Domestic,SUSPENDED
,02913,210093577,113107,WAMBUI GITHEGE,MUGUTHA,Domestic,SUSPENDED
,02914,210093579,113026,BENSON NGAMAU WAIREGI,MUGUTHA,Domestic,SUSPENDED
,02915,210093580,h17ja015127,FRANCIS WAWERU NJUGUNA,MUGUTHA,Domestic,SUSPENDED
,02916,210093589,110134,DAVID KARANJA CHEGE,MUGUTHA,Domestic,ACTIVE
,02917,210093590,17130153,LILIES WANJIKU MURIMI,MUGUTHA,Domestic,ACTIVE
,02918,210093599,110165,FRED KANIA KARANJA,MUGUTHA,Domestic,ACTIVE
,02919,210093600,113187,PAULINE WANJA MWANGI,MUGUTHA,Domestic,SUSPENDED
,02920,210093601,110164,PERIS NJOKI NDIRANGU,MUGUTHA,Domestic,SUSPENDED
,02921,210093632,110180,JOEL KABOCHI WAMBUI,MUGUTHA,Domestic,SUSPENDED
,02922,210093637,20150900637,PETER MUCHEMI KIRAGU,MUGUTHA,Commercial,ACTIVE
,02923,210093684,112548,JACINTA MUKUHI WAIGANJO,MUGUTHA,Domestic,SUSPENDED
,02924,210093686,112546,JOSEPH NGINYA KAGO,MUGUTHA,Commercial,DISCONNECTED
,02925,210093688,112549,PAUL MAINA MBUGUA,MUGUTHA,Domestic,SUSPENDED
,02926,210093708,112311,FRANICS NGANGA KAHOHI,MUGUTHA,Domestic,SUSPENDED
,02927,210093714,113156,EZEKIEL KATHURIMA NARAGWI,MUGUTHA,Domestic,SUSPENDED
,02928,210093727,112514,MUGUTHA PRIMARY SCHOOL,MUGUTHA,Schools,SUSPENDED
,02929,210093759,112452,DANIEL KAROBIA MBUGI,MUGUTHA,Domestic,ACTIVE
,02930,210093761,112456,NJOROGE MANYEKI,MUGUTHA,Commercial,ACTIVE
,02931,210093767,112448,EUNICE WANJIRU MUGO,MUGUTHA,DOMESTIC,ACTIVE
,02932,210093779,112399,JOSHUA KAREGI WAHOME,MUGUTHA,DOMESTIC,SUSPENDED
,02933,210093796,120041,JAMES KAMAU,MUGUTHA,DOMESTIC,SUSPENDED
,02934,210093819,120249,CYRUS NJOROGE NGARUIYA,MUGUTHA,Domestic,SUSPENDED
,02937,210093848,120249,CYRUS NJOROGE NGARUIYA,MUGUTHA,Domestic,SUSPENDED
,02938,210093849,120215,VIRGINIA WAMBUI,MUGUTHA,Domestic,ACTIVE
,02939,210093855,120170,DAISY RUGURU NYAGA,MUGUTHA,Domestic,ACTIVE
,02940,210093858,120211,SCHOLASTICA WACEKE KIBURU,MUGUTHA,Domestic,ACTIVE
,02941,210093889,120124,DOUGLAS MITHEU MUTIGA,MUGUTHA,Domestic,SUSPENDED
,02942,210093906,120053,JOHN NDUNGU GICHEE,MUGUTHA,DOMESTIC,SUSPENDED
,02943,210093946,1201917,JOHN MWORIA NGARUIYA,MUGUTHA,Domestic,SUSPENDED
,02944,210093985,1201965,ANN WANJIKU NGURE,MUGUTHA,Commercial,SUSPENDED
,02945,210093990,1201967,NANCY KARAMBU MUGWIKA,MUGUTHA,Domestic,ACTIVE
,02946,210094022,1201708,MARGARET NJERI MBURU,MUGUTHA,DOMESTIC,SUSPENDED
,02947,210094079,EKD3206,JESEE MWANGI KARUGO,MUGUTHA,Domestic,SUSPENDED
,05016,210096660,14155615,LENSON MACHARIA WAMBUI,MUGUTHA,Domestic,SUSPENDED
,05189,210091870,,GACHINGA MARGARET MUGURE,MUGUTHA,DOMESTIC,DISCONNECTED
,06094,210092967,1019978,DANIEL K KINYUA,MUGUTHA,Domestic,ACTIVE
,06100,210091905,1019549,DOUGLAS MURIIRA KIRUGURI,MUGUTHA,DOMESTIC,ACTIVE
,06103,210092147,1019526,NJARI NANCY WANGARI,MUGUTHA,Commercial,ACTIVE
,06117,210091966,1016548,JOHN GAITHO KURIA,MUGUTHA,Domestic,SUSPENDED
,06130,210092596,210092596,ALEX K GITHINJI,MUGUTHA,Domestic,SUSPENDED
,06158,210093056,1066687,JOSEPH NJOROGE MAINA,MUGUTHA,Commercial,ACTIVE
,06162,210093216,1068062,BEDAN MWATHA NGUGI,MUGUTHA,DOMESTIC,SUSPENDED
,06202,210092539,1017926,CHARLES MUGAMBI GITHENYA,MUGUTHA,Domestic,ACTIVE
,06208,210093370,201006143,PETER UCU KINUTHIA,MUGUTHA,Domestic,SUSPENDED
,06337,210094471,201303294,PETER KURIA WAITHAKA,MUGUTHA,Domestic,SUSPENDED
,06338,210094477,201304668,LOISE WAITHIRA GITAU,MUGUTHA,Domestic,SUSPENDED
,06339,210094522,1302509,LUCIA WAIRIMU GACHUGU,MUGUTHA,Domestic,ACTIVE
,06340,210094523,210094523,EUSTACE KIARII GACHANJA,MUGUTHA,Domestic,SUSPENDED
,06533,210054254,1301338,MARY WAMBUI NYONGO,MUGUTHA,Commercial,ACTIVE
,06591,210094263,150346318,DANIEL KAMAU KIMANI,MUGUTHA,Domestic,SUSPENDED
,06592,210094317,1301482,VIRGINIAH WANJIKU KARANJA,MUGUTHA,Domestic,ACTIVE
,06593,210094332,1301621,JANE WAMUYU MAINA,MUGUTHA,Domestic,SUSPENDED
,06594,210094338,1301637,MAGDALINE GATHONI WAMWEA,MUGUTHA,Domestic,SUSPENDED
,06595,210094346,1301656,MARGARET MWIHAKI NJENGA,MUGUTHA,Domestic,ACTIVE
,06619,210091871,H-A 67137,JAMES K. MUNENE,MUGUTHA,Domestic,DISCONNECTED
,06646,210094170,14202214,SAMUEL NGUGI KIBE,MUGUTHA,Commercial,SUSPENDED
,06740,210051186,210051186,GEORGE W NYONGO,MUGUTHA,Domestic,ACTIVE
,06992,210094357,1301694,DOMINIC KIARIE KIHANYA,MUGUTHA,Domestic,ACTIVE
,06993,210094419,201303752,SYLVESTER WAMBUGU KAMAU,MUGUTHA,Domestic,ACTIVE
,07026,210092000,1016782,JOSEPH MWANGI KAMAU,MUGUTHA,Domestic,DISCONNECTED
,07030,210092046,1016113,TERESIA NJERI NJUGUNA,MUGUTHA,,ACTIVE
,07035,210092080,H-002712,JANE NYAMBURA NGIGI,MUGUTHA,Domestic,SUSPENDED
,07093,210094571,1302634,GERGE KARONJI KIHARA,MUGUTHA,,SUSPENDED
,07094,210094595,1302552,DAVID MAINA NYONGO,MUGUTHA,Domestic,SUSPENDED
,07095,210094596,1302553,SAMUEL CHEGE NYONGO,MUGUTHA,Domestic,DISCONNECTED
,07096,210094597,1302554,ELIUD NDUNGU NYONGO,MUGUTHA,Commercial,SUSPENDED
,07097,210094628,1303169,DAVID MAINA NYONGO,MUGUTHA,Commercial,SUSPENDED
,07098,210094636,1303256,TIMOTHY RURINJA,MUGUTHA,Domestic,ACTIVE
,07177,210091773,1017930,GEORGE KIMANI WAINAINA,MUGUTHA,,ACTIVE
,07178,210092010,1017205,ALICE WANGECHI WAITWIKA,MUGUTHA,Domestic,DISCONNECTED
,07179,210092058,1017921,MARTHA NDUTA MWANGI,MUGUTHA,Domestic,SUSPENDED
,07281,210094656,1303573,CATHERINE WAIRIMU KIBUE,MUGUTHA,Domestic,DISCONNECTED
,07282,210094669,1303517,TABITHA WANGARI KINYUA,MUGUTHA,DOMESTIC,ACTIVE
,07283,210094670,1303518,DANIEL MWAURA NJOROGE,MUGUTHA,Domestic,ACTIVE
,07284,210094704,210094704,MARIAM GATHONI,MUGUTHA,Domestic,SUSPENDED
,07344,210091909,1016744,ESTHER MARGARET WAIYEGO,MUGUTHA,DOMESTIC,SUSPENDED
,07346,210092022,1019175,ELIZABETH MBAIRE NJOROGE,MUGUTHA,Domestic,ACTIVE
,07355,210092131,HN 0300784,JOHN IRUNGU MUCHERU,MUGUTHA,DOMESTIC,SUSPENDED
,07462,210092079,1017276,JOSEPH NJOROGE KARANJA,MUGUTHA,Domestic,ACTIVE
,07463,210092081,H-A 67672-505,CRISPUS WAITHAKA KIANO,MUGUTHA,,ACTIVE
,07464,210092086,1017278,JESTIN MACHARIA KANYONJI,MUGUTHA,Domestic,SUSPENDED
,07465,210092091,1017924,Muhia Jane Muthoni,MUGUTHA,Domestic,ACTIVE
,07466,210092611,1016074,ANNE WAITHERA NGANGA,MUGUTHA,Domestic,SUSPENDED
,07467,210094753,1303139,STEPHEN MBURU MACHARIA,MUGUTHA,Domestic,SUSPENDED
,07468,210094755,1303136,REBECCA WANGECHI KARIUKI,MUGUTHA,Domestic,DISCONNECTED
,07469,210094768,1303225,FRANCIS MIRINGU KIARIE,MUGUTHA,Domestic,SUSPENDED
,07553,210092122,00A27N325,STEPHEN KIRUI WAKARIA,MUGUTHA,,SUSPENDED
,07558,210092381,1016072,ESTHER NYAMBURA KARIUKI,MUGUTHA,,SUSPENDED
,07561,210093820,,SEVENTH DAY ADVENTIST CHURCH,MUGUTHA,Commercial,SUSPENDED
,07672,210094897,1303418,SAMUEL NJUGUNA MWANIKI,MUGUTHA,Domestic,ACTIVE
,07709,210092125,1019268,SIMON M RUKANGU,MUGUTHA,Domestic,SUSPENDED
,07710,210092152,H000615-02B-749,LYDIAH WANJIKU WAHOME,MUGUTHA,,DISCONNECTED
,07711,210092175,,NANCY WANGUI NJOGU,MUGUTHA,Commercial,SUSPENDED
,07714,210092368,H002773,ROSE NJERI KINUTHIA,MUGUTHA,Domestic,SUSPENDED
,07716,210092537,1016075,JACOB NJOROGE KIMANI,MUGUTHA,Domestic,ACTIVE
,07888,210094831,1303368,LAWRENCE MAINA IRUNGU,MUGUTHA,Domestic,ACTIVE
,07889,210094939,1303553,JAMES KANGETHE KIMANI,MUGUTHA,Domestic,SUSPENDED
,07890,210094988,1304928,FRANKS MBUAH MUIRURI,MUGUTHA,Domestic,SUSPENDED
,07891,210094998,1305224,FLORENCE WANJIKU MBUGUA,MUGUTHA,Domestic,SUSPENDED
,08109,210095069,1305257,PATRICIA WAHITO GACHIRI,MUGUTHA,Domestic,ACTIVE
,08110,210095083,1304773,PETER KAMAU KARANJA,MUGUTHA,Domestic,ACTIVE
,08111,210095104,1303135,STEPHEN DANIEL MSANGAH,MUGUTHA,Domestic,SUSPENDED
,08112,210095105,1305132,TIMOTHY KIHURIA GATHUKU,MUGUTHA,Domestic,SUSPENDED
,08113,210095130,1304761,ALFRED MUHUHU GATINU,MUGUTHA,Commercial,SUSPENDED
,08332,210095164,1305187,MARGARET WANJIRU KAGUNYI,MUGUTHA,Commercial,ACTIVE
,08333,210095189,1305288,PAULINE MUTHIIKIMANI,MUGUTHA,Commercial,ACTIVE
,08334,210095193,1305173,CHARLES KIHIKO KARANJA,MUGUTHA,Domestic,SUSPENDED
,08335,210095194,1305176,JOHN KINUTHIA,MUGUTHA,Domestic,SUSPENDED
,08336,210095214,08166-0210095214,SUKARI SERVICE STATION,MUGUTHA,Commercial,ACTIVE
,08337,210095230,1305196,JANE WAMBUI KINGANGI,MUGUTHA,Domestic,SUSPENDED
,08378,210092084,1303488,MICHAEL MWAURA,MUGUTHA,Domestic,ACTIVE
,08441,210092090,1303609,NJENGA FRANCIS KURIA,MUGUTHA,Domestic,ACTIVE
,08541,210095262,1304910,MARTIN NGAMAU KIMOTHO,MUGUTHA,Domestic,ACTIVE
,08542,210095263,1304905,JOHN KAMAU GACHINA,MUGUTHA,Domestic,ACTIVE
,08543,210095265,1304906,GEORGE MUTURI NDOTONO,MUGUTHA,Domestic,SUSPENDED
,08544,210095281,1305272,RUTH NJOKI NDEGWA,MUGUTHA,Domestic,SUSPENDED
,08737,210092004,FC000422,JOSEPH WAWERU CHEGE,MUGUTHA,Domestic,SUSPENDED
,08762,210095349,LXH080804,ANN WANJIKU NGURE,MUGUTHA,Domestic,SUSPENDED
,08763,210095350,13060091,THERESIA WANJIRU KIARIE,MUGUTHA,Commercial,SUSPENDED
,08764,210095404,LXH13091962,ALICE NJAMBI KIMANI,MUGUTHA,Domestic,SUSPENDED
,08765,210095437,LXH080380,DAVID MACHARIA NDEGWA,MUGUTHA,Domestic,DISCONNECTED
,08766,210095438,LXH081039,CALEB NJERU NJUE,MUGUTHA,Domestic,SUSPENDED
,08767,210095458,FC000273,BETH WANJIRU MUNJUGA,MUGUTHA,Domestic,DISCONNECTED
,08768,210095459,FC000299,SUSAN WANJIKU MUHIA,MUGUTHA,Domestic,ACTIVE
,08801,210096661,14155315,GEORGE RUHARA MAINA,MUGUTHA,Domestic,ACTIVE
,08871,210096626,14150915,DUNCAN KIMANI KAMANDE,MUGUTHA,,ACTIVE
,08961,210095510,1305686,ELIUD NJIHIA KAHUMBURA,MUGUTHA,Commercial,ACTIVE
,08962,210095530,LXH13091921,MOSES IKINYA KANGARUA,MUGUTHA,,ACTIVE
,08963,210095562,13060373,FAITH WAMBUI NGURU,MUGUTHA,Domestic,ACTIVE
,08964,210095563,13060038,NANCY WANJIRU KARANJA,MUGUTHA,Domestic,DISCONNECTED
,08965,210095582,LXH080229,AGNES NYAMBURA GACHUGU,MUGUTHA,Domestic,DISCONNECTED
,08966,210095583,LXH080171,JANE MUTHONI WANJOHI,MUGUTHA,Domestic,SUSPENDED
,08967,210095584,LXH080018,JULIA WAITHIRA NGUGI,MUGUTHA,Domestic,SUSPENDED
,08968,210095585,LXH081014,ELIZABETH WAMBUI KAGWA,MUGUTHA,Domestic,SUSPENDED
,08969,210095586,LXH080499,JANET WANJIRU GITHI,MUGUTHA,,ACTIVE
,08970,210095587,LXH080646,CATHERINE WANJIRU MWAURA,MUGUTHA,,SUSPENDED
,08971,210095594,210095594,MARY WANJIKU KINUTHIA,MUGUTHA,Domestic,SUSPENDED
,08972,210095595,210095595,ELLA KAREA KINYUA,MUGUTHA,Domestic,SUSPENDED
,08973,210095596,210095596,GABRIEL NGANGA MATHU,MUGUTHA,Domestic,ACTIVE
,09025,210096623,14150415,LUCY WAMBUI KAMAU,MUGUTHA,Domestic,DISCONNECTED
,09026,210096635,14166315,ROBERT KINUTHIA WAWERU,MUGUTHA,Domestic,ACTIVE
,09193,210091866,210091866,THOMAS LUCY WANJA,MUGUTHA,Domestic,SUSPENDED
,09194,210092803,1019502,JULIUS KARUOYA,MUGUTHA,Domestic,ACTIVE
,09195,210093319,201006016,VIRGINIA WANGUI WAITHAKA,MUGUTHA,Domestic,ACTIVE
,09196,210095607,155140181,VERONICA WANJERI NGANGA,MUGUTHA,Domestic,SUSPENDED
,09197,210095608,210095608,LUCY WANGARI GAKUO,MUGUTHA,Domestic,SUSPENDED
,09198,210095609,210095609,ANNE WANJIKU RUGENYI,MUGUTHA,Domestic,ACTIVE
,09199,210095610,210095610,BENSON NDUNGU KIMANI,MUGUTHA,Domestic,SUSPENDED
,09200,210095622,1352215,IRENE NJAMBI KARIUKI,MUGUTHA,,SUSPENDED
,09201,210095625,1351503,JANE WANJIRU KIARIE,MUGUTHA,Domestic,ACTIVE
,09202,210095626,1351504,JANEFFER WANJIRU KAMAMA,MUGUTHA,Domestic,ACTIVE
,09203,210095627,1351505,PATRICIA WAMBUI CHEGE,MUGUTHA,Domestic,ACTIVE
,09204,210095628,1351506,JAMES NJAU MBURU,MUGUTHA,Domestic,ACTIVE
,09205,210095629,1351507,MERCY WANGUI WAHOME,MUGUTHA,Domestic,SUSPENDED
,09206,210095630,1351508,COSMAS MBULO MUTWANE,MUGUTHA,Domestic,ACTIVE
,09207,210095631,1351509,SUSAN NJERI NJENGA,MUGUTHA,Domestic,ACTIVE
,09208,210095646,1352210,STEPHEN MACHARIA GIKUHI,MUGUTHA,Domestic,SUSPENDED
,09209,210095688,1351547,JUDY MUMBI THUO,MUGUTHA,Domestic,DISCONNECTED
,09210,210095689,1351548,PERIS MUGOIRI KARIUKI,MUGUTHA,Domestic,ACTIVE
,09211,210095695,1351575,ESTHER NJERI NGUGI,MUGUTHA,Domestic,SUSPENDED
,09212,210095696,1351550,SAMSON NJUGUNA MWAURA,MUGUTHA,,ACTIVE
,09213,210095701,1351574,MOSES GICHUHA NGANGA,MUGUTHA,Domestic,ACTIVE
,09214,210095702,210095702,EMILY WANJIKU MWANGI,MUGUTHA,Domestic,ACTIVE
,09215,210095705,210095705,MARY WANJIKU GITURO,MUGUTHA,Domestic,DISCONNECTED
,09216,210095709,1350893,JEREMIAH MWAURA NDERI,MUGUTHA,Domestic,ACTIVE
,09217,210095711,1350895,PETER MWANGI MUKANGU,MUGUTHA,,SUSPENDED
,09218,210095712,1350896,ANTHONY NYAGA MWANGI,MUGUTHA,Domestic,SUSPENDED
,09219,210095713,1350897,MOSES MARIKA KIMANI,MUGUTHA,Domestic,SUSPENDED
,09220,210095723,1352347,LEAH WAIRIMU MWAURA,MUGUTHA,,ACTIVE
,09221,210095733,1352381,PRISCILLA WANJIRU KANYEKI,MUGUTHA,Domestic,ACTIVE
,09222,210095740,1352388,GRACE MUGURE NGANGA,MUGUTHA,Domestic,ACTIVE
,09223,210095747,1354053,FAITH WANJIKU CHEGE,MUGUTHA,Domestic,ACTIVE
,09224,210095748,1354054,EMMA WAIRIMU WACHIRA,MUGUTHA,Domestic,ACTIVE
,09225,210095749,1354055,BEATRICE WANGARI MUNGAI,MUGUTHA,Domestic,SUSPENDED
,09308,210096608,14156815,HANNAH GATHONI NDUNGU,MUGUTHA,Domestic,SUSPENDED
,09497,210092135,210092135,PETER NJEKEJU NGUGI,MUGUTHA,Domestic,SUSPENDED
,09498,210095810,155140017,RAHAB NJERI MACHARIA,MUGUTHA,Domestic,SUSPENDED
,09499,210095811,210095811,MARY WAMBUI NDUNGU,MUGUTHA,Domestic,SUSPENDED
,09500,210095812,155140883,ESTHER GATHONI ITHAGI,MUGUTHA,Domestic,SUSPENDED
,09501,210095821,155140056,SAMUEL KINUTHIA KARAU,MUGUTHA,Commercial,ACTIVE
,09502,210095835,155140018,JACINTA WACEKE KARIUKI,MUGUTHA,Domestic,ACTIVE
,09503,210095847,155140079,ANTONY KINOTI MUTEMBEI,MUGUTHA,Domestic,SUSPENDED
,09504,210095850,14048836,LILIAN WAMBUI MWANGI,MUGUTHA,Domestic,ACTIVE
,09505,210095866,155140862,ANNE MUTHONI KOGI,MUGUTHA,Domestic,ACTIVE
,09506,210095871,1354100,MIRIAM WANJIRU MWANGI,MUGUTHA,Domestic,SUSPENDED
,09726,210095908,14049400,JAMES GICHURU MACHARIA,MUGUTHA,Domestic,DISCONNECTED
,09727,210095919,14047878,FIDELIS MUGURE NJOKI,MUGUTHA,Domestic,SUSPENDED
,09728,210095920,14047880,HENRY GICHEHA WAINAINA,MUGUTHA,Domestic,ACTIVE
,09729,210095921,14047879,IRENE WANJIRU KARIUKI,MUGUTHA,Domestic,DISCONNECTED
,09730,210095934,14049851,PHYLLIS NYAMBURA NYINGI,MUGUTHA,Domestic,ACTIVE
,09731,210095953,14050285,ANNE NJERI CHOMBA,MUGUTHA,Domestic,SUSPENDED
,09732,210095955,14048371,SERAH MUHONI MUTHABA,MUGUTHA,Domestic,SUSPENDED
,09733,210095986,14050010,LUCY KABURA MUTUGA,MUGUTHA,Domestic,ACTIVE
,09734,210095995,14049615,RUTH WAMBUI THUNGU,MUGUTHA,Domestic,ACTIVE
,09735,210095996,14049616,WINFRIDA WANGUI NJONJO,MUGUTHA,Domestic,ACTIVE
,09736,210096022,14048500,JACINTA WAHU MUNYUA,MUGUTHA,Domestic,SUSPENDED
,09737,210096024,09592-0210096024,FAITH MAKENA MUIRURI,MUGUTHA,Domestic,DISCONNECTED
