New Acc No,Old Acc No,Zone,Subzone,Longitude,Latitude
11211,2100211211,002 GITAMBAYA,GITAMBAYA,272185.243,9872296.845
20116,2100220116,002 GITAMBAYA,GITAMBAYA,272163.7046,9872267.225
17711,2100217711,002 GITAMBAYA,GITAMBAYA,272156.0209,9872270.464
6231,2100206231,002 GITAMBAYA,GITAMBAYA,272148.3534,9872251.177
21027,2100221027,002 GITAMBAYA,GITAMBAYA,272123.1996,9872217.96
6451,2100206451,002 GITAMBAYA,GITAMBAYA,272133.1793,9872195.441
21511,2100221511,002 GITAMBAYA,GITAMBAYA,272139.1245,9872184.385
878,2100200878,002 GITAMBAYA,GITAMBAYA,272159.3003,9872173.948
17709,2100217709,002 GITAMBAYA,GITAMBAYA,272152.9143,9872178.773
14435,2100214435,002 GITAMBAYA,GITAMBAYA,272078.6648,9872122.165
14434,2100214434,002 GITAMBAYA,GITAMBAYA,272085.5142,9872118.059
14440,2100214440,002 GITAMBAYA,GITAMBAYA,272058.9067,9872119.533
1070,2100201070,002 GITAMBAYA,GITAMBAYA,272016.3077,9872066.8
19900,2100219900,002 GITAMBAYA,GITAMBAYA,271968.4175,9871992.792
12280,2100212280,002 GITAMBAYA,GITAMBAYA,271969.8979,9871972.663
16001,2100216001,002 GITAMBAYA,GITAMBAYA,271995.1645,9871952.405
9411,2100209411,002 GITAMBAYA,GITAMBAYA,271932.8651,9871996.932
18231,2100218231,002 GITAMBAYA,GITAMBAYA,271923.6518,9872011.377
11507,2100211507,002 GITAMBAYA,GITAMBAYA,271920.9435,9872010.491
9415,2100209415,002 GITAMBAYA,GITAMBAYA,271908.9313,9872021.34
10258,2100210258,002 GITAMBAYA,GITAMBAYA,271894.3243,9872028.223
6944,2100206944,002 GITAMBAYA,GITAMBAYA,271884.4906,9872028.253
15184,2100215184,002 GITAMBAYA,GITAMBAYA,271945.134,9872195.895
20474,2100220474,002 GITAMBAYA,GITAMBAYA,271970.2931,9872247.62
211,2100200211,002 GITAMBAYA,GITAMBAYA,272019.6756,9872310.514
6259,2100206259,002 GITAMBAYA,GITAMBAYA,272155.1842,9872479.113
220,2100200220,002 GITAMBAYA,GITAMBAYA,272313.6562,9872553.514
256,2100200256,002 GITAMBAYA,GITAMBAYA,272099.6143,9872531.553
221,2100200221,002 GITAMBAYA,GITAMBAYA,272155.0979,9872495.887
179,2100200179,002 GITAMBAYA,GITAMBAYA,272090.5933,9872433.609
1024,2100201024,002 GITAMBAYA,GITAMBAYA,272061.8718,9872459.119
6468,2100206468,002 GITAMBAYA,GITAMBAYA,272046.338,9872464.785
909,2100200909,002 GITAMBAYA,GITAMBAYA,272038.1641,9872478.863
188,2100200188,002 GITAMBAYA,GITAMBAYA,272050.1375,9872496.31
6493,2100206493,002 GITAMBAYA,GITAMBAYA,272010.0735,9872504.336
19954,2100219954,002 GITAMBAYA,GITAMBAYA,271978.8353,9872417.491
178,2100200178,002 GITAMBAYA,GITAMBAYA,271988.7233,9872419.342
19963,2100219963,002 GITAMBAYA,GITAMBAYA,272006.2325,9872401.714
19925,2100219925,002 GITAMBAYA,GITAMBAYA,272031.3581,9872396.847
830,2100200830,002 GITAMBAYA,GITAMBAYA,272033.783,9872379.134
15444,2100215444,002 GITAMBAYA,GITAMBAYA,272038.7305,9872388.041
7987,2100207987,002 GITAMBAYA,GITAMBAYA,272055.3069,9872377.324
17472,2100217472,002 GITAMBAYA,GITAMBAYA,272015.7951,9872314.308
7798,2100207798,002 GITAMBAYA,GITAMBAYA,271979.5134,9872326.227
7786,2100207786,002 GITAMBAYA,GITAMBAYA,271981.8065,9872336.847
22218,2100222218,002 GITAMBAYA,GITAMBAYA,271968.2791,9872338.846
16261,2100216261,002 GITAMBAYA,GITAMBAYA,271958.7107,9872357.015
20190,2100220190,002 GITAMBAYA,GITAMBAYA,271938.9116,9872359.71
9116,2100209116,002 GITAMBAYA,GITAMBAYA,271927.6244,9872368.403
9378,2100209378,002 GITAMBAYA,GITAMBAYA,271883.4944,9872328.739
12057,2100212057,002 GITAMBAYA,GITAMBAYA,271924.9572,9872284.823
9118,2100209118,002 GITAMBAYA,GITAMBAYA,271955.03,9872263.812
12715,2100212715,002 GITAMBAYA,GITAMBAYA,271952.8092,9872255.865
833,2100200833,002 GITAMBAYA,GITAMBAYA,271896.6095,9872203.897
7790,2100207790,002 GITAMBAYA,GITAMBAYA,271892.2679,9872203.783
6844,2100206844,002 GITAMBAYA,GITAMBAYA,271884.0268,9872208.072
11911,2100211911,002 GITAMBAYA,GITAMBAYA,271883.1265,9872221.547
7594,2100207594,002 GITAMBAYA,GITAMBAYA,271861.432,9872228.186
9092,2100209092,002 GITAMBAYA,GITAMBAYA,271860.0165,9872235.632
969,2100200969,002 GITAMBAYA,GITAMBAYA,271815.3376,9872236.669
9096,2100209096,002 GITAMBAYA,GITAMBAYA,271819.2532,9872235.75
14445,2100214445,002 GITAMBAYA,GITAMBAYA,271798.0413,9872190.83
1077,2100201077,002 GITAMBAYA,GITAMBAYA,271811.2366,9872186.102
7998,2100207998,002 GITAMBAYA,GITAMBAYA,271837.1063,9872153.069
21888,2100221888,002 GITAMBAYA,GITAMBAYA,271845.9334,9872159.454
19137,2100219137,002 GITAMBAYA,GITAMBAYA,271850.1546,9872146.406
7071,2100207071,002 GITAMBAYA,GITAMBAYA,271863.3905,9872136.812
23270,2100223270,002 GITAMBAYA,GITAMBAYA,271865.3469,9872125.532
6183,2100206183,002 GITAMBAYA,GITAMBAYA,271815.9936,9872073.476
20188,2100220188,002 GITAMBAYA,GITAMBAYA,271809.5813,9872088.993
10537,2100210537,002 GITAMBAYA,GITAMBAYA,271786.0748,9872112.589
7215,2100207215,002 GITAMBAYA,GITAMBAYA,271775.3754,9872103.844
9445,2100209445,002 GITAMBAYA,GITAMBAYA,271762.2132,9872113.973
1016,2100201016,002 GITAMBAYA,GITAMBAYA,271759.0837,9872131.261
